Matrix_Size,Processes,Time_ms,GFLOPS,Verified
200,1,3.1936,5.01,YES
200,2,1.5908,10.06,YES
200,4,0.8554,18.70,YES
200,8,0.8926,17.92,YES
400,1,26.6702,4.80,YES
400,2,13.3589,9.58,YES
400,4,6.8292,18.74,YES
400,8,7.4775,17.12,YES
800,1,218.5878,4.68,YES
800,2,112.1985,9.13,YES
800,4,69.4073,14.75,YES
800,8,117.3739,8.72,YES
1200,1,815.4914,4.24,YES
1200,2,513.2972,6.73,YES
1200,4,379.1240,9.12,YES
1200,8,459.4607,7.52,YES
1600,1,2147.6000,3.81,YES
1600,2,1267.9268,6.46,YES
1600,4,901.9862,9.08,YES
1600,8,700.0607,11.70,YES
2000,1,11224.7431,1.43,YES
2000,2,6317.2839,2.53,YES
2000,4,2869.5300,5.58,YES
2000,8,1886.6179,8.48,YES
